consulta,tipo_api,tempo_ms,tamanho_bytes,timestamp
Consulta 3 - Complexa,REST,3939.66,138736,2025-11-26T14:16:38.787941
Consulta 3 - Complexa,GraphQL,956.1,1003,2025-11-26T14:16:40.746103
Consulta 3 - Complexa,REST,2897.61,138736,2025-11-26T14:16:44.645556
Consulta 3 - Complexa,GraphQL,859.4,1003,2025-11-26T14:16:46.506950
Consulta 3 - Complexa,GraphQL,1194.26,1003,2025-11-26T14:16:48.702810
Consulta 3 - Complexa,GraphQL,1096.0,1003,2025-11-26T14:16:50.800598
Consulta 3 - Complexa,GraphQL,1157.4,1003,2025-11-26T14:16:52.960054
Consulta 4 - Lista,REST,768.0,53183,2025-11-26T14:16:54.729471
Consulta 4 - Lista,GraphQL,623.0,971,2025-11-26T14:16:56.354747
Consulta 4 - Lista,REST,843.46,53183,2025-11-26T14:16:58.199846
Consulta 4 - Lista,REST,1968.29,53183,2025-11-26T14:17:01.169671
Consulta 4 - Lista,REST,691.0,53183,2025-11-26T14:17:02.862714
Consulta 4 - Lista,GraphQL,629.67,971,2025-11-26T14:17:04.493057
Consulta 4 - Lista,REST,775.05,53183,2025-11-26T14:17:06.271119
Consulta 4 - Lista,GraphQL,653.0,971,2025-11-26T14:17:07.926828
Consulta 4 - Lista,REST,714.65,53183,2025-11-26T14:17:09.642660
Consulta 4 - Lista,GraphQL,701.3,971,2025-11-26T14:17:11.347448
Consulta 4 - Lista,GraphQL,614.04,971,2025-11-26T14:17:12.963231
Consulta 4 - Lista,GraphQL,650.56,971,2025-11-26T14:17:14.615797
Consulta 4 - Lista,GraphQL,783.0,971,2025-11-26T14:17:16.400441
Consulta 4 - Lista,GraphQL,675.74,971,2025-11-26T14:17:18.078259
Consulta 4 - Lista,GraphQL,624.0,971,2025-11-26T14:17:19.704692
Consulta 4 - Lista,GraphQL,649.95,971,2025-11-26T14:17:21.357050
Consulta 4 - Lista,REST,768.63,53183,2025-11-26T14:17:23.127765
Consulta 4 - Lista,REST,921.84,53183,2025-11-26T14:17:25.051901
Consulta 4 - Lista,GraphQL,578.62,971,2025-11-26T14:17:26.632718
Consulta 4 - Lista,GraphQL,618.67,971,2025-11-26T14:17:28.251962
Consulta 4 - Lista,GraphQL,673.37,971,2025-11-26T14:17:29.928410
Consulta 4 - Lista,REST,795.91,53183,2025-11-26T14:17:31.725845
Consulta 4 - Lista,REST,893.25,53183,2025-11-26T14:17:33.621255
Consulta 4 - Lista,REST,833.97,53183,2025-11-26T14:17:35.457474
Consulta 4 - Lista,REST,666.31,53183,2025-11-26T14:17:37.125095
Consulta 4 - Lista,REST,714.6,53183,2025-11-26T14:17:38.841782
Consulta 4 - Lista,GraphQL,712.02,971,2025-11-26T14:17:40.556109
Consulta 4 - Lista,REST,805.23,53183,2025-11-26T14:17:42.363775
Consulta 4 - Lista,REST,823.64,53183,2025-11-26T14:17:44.190164
Consulta 4 - Lista,REST,858.24,53183,2025-11-26T14:17:46.050351
Consulta 4 - Lista,REST,824.0,53183,2025-11-26T14:17:47.876677
Consulta 4 - Lista,REST,698.68,53183,2025-11-26T14:17:49.577292
Consulta 4 - Lista,REST,753.76,53183,2025-11-26T14:17:51.333378
Consulta 4 - Lista,GraphQL,612.2,971,2025-11-26T14:17:52.947727
Consulta 4 - Lista,GraphQL,881.93,971,2025-11-26T14:17:54.831346
Consulta 4 - Lista,REST,761.67,53183,2025-11-26T14:17:56.595316
Consulta 4 - Lista,REST,857.53,53183,2025-11-26T14:17:58.455589
Consulta 4 - Lista,GraphQL,701.3,971,2025-11-26T14:18:00.158805
Consulta 4 - Lista,GraphQL,589.31,971,2025-11-26T14:18:01.749693
Consulta 4 - Lista,REST,693.39,53183,2025-11-26T14:18:03.444608
Consulta 4 - Lista,REST,770.96,53183,2025-11-26T14:18:05.217347
Consulta 4 - Lista,REST,761.14,53183,2025-11-26T14:18:06.980489
Consulta 4 - Lista,GraphQL,639.55,971,2025-11-26T14:18:08.622197
Consulta 4 - Lista,REST,865.94,53183,2025-11-26T14:18:10.489726
Consulta 4 - Lista,GraphQL,626.14,971,2025-11-26T14:18:12.118734
Consulta 4 - Lista,REST,730.43,53183,2025-11-26T14:18:13.851409
Consulta 4 - Lista,REST,773.32,53183,2025-11-26T14:18:15.626655
Consulta 4 - Lista,REST,811.51,53183,2025-11-26T14:18:17.440251
Consulta 4 - Lista,GraphQL,601.39,971,2025-11-26T14:18:19.042199
Consulta 4 - Lista,GraphQL,788.33,971,2025-11-26T14:18:20.833293
Consulta 4 - Lista,REST,700.23,53183,2025-11-26T14:18:22.535642
Consulta 4 - Lista,GraphQL,615.28,971,2025-11-26T14:18:24.153337
Consulta 4 - Lista,GraphQL,591.69,971,2025-11-26T14:18:25.747192
Consulta 4 - Lista,GraphQL,749.22,971,2025-11-26T14:18:27.498559
Consulta 4 - Lista,GraphQL,536.19,971,2025-11-26T14:18:29.037440
Consulta 4 - Lista,GraphQL,576.72,971,2025-11-26T14:18:30.616160
Consulta 4 - Lista,GraphQL,652.67,971,2025-11-26T14:18:32.269458
Consulta 4 - Lista,REST,759.29,53183,2025-11-26T14:18:34.031610
Consulta 4 - Lista,GraphQL,678.33,971,2025-11-26T14:18:35.712610
Consulta 4 - Lista,GraphQL,697.32,971,2025-11-26T14:18:37.411319
Consulta 5 - Aninhada,REST,1084.46,31290,2025-11-26T14:18:39.496104
