consulta,tipo_api,tempo_ms,tamanho_bytes,timestamp,numero_consulta,complexidade,num_endpoints,data,hora,minuto,periodo_dia,ordem_execucao
Consulta 2 - Média,REST,1379.91,42084,2025-11-26 14:12:31.780555,2,Média,2,2025-11-26,14,12,Tarde,80
Consulta 2 - Média,REST,1245.0,42084,2025-11-26 14:12:34.027037,2,Média,2,2025-11-26,14,12,Tarde,81
Consulta 2 - Média,REST,1303.53,42084,2025-11-26 14:12:36.331840,2,Média,2,2025-11-26,14,12,Tarde,82
Consulta 2 - Média,REST,1284.0,42084,2025-11-26 14:12:38.616947,2,Média,2,2025-11-26,14,12,Tarde,83
Consulta 2 - Média,GraphQL,586.0,1444,2025-11-26 14:12:40.204987,2,Média,2,2025-11-26,14,12,Tarde,84
Consulta 2 - Média,GraphQL,618.3,1444,2025-11-26 14:12:41.826265,2,Média,2,2025-11-26,14,12,Tarde,85
Consulta 2 - Média,GraphQL,581.28,1444,2025-11-26 14:12:43.409068,2,Média,2,2025-11-26,14,12,Tarde,86
Consulta 2 - Média,GraphQL,613.0,1444,2025-11-26 14:12:45.024723,2,Média,2,2025-11-26,14,12,Tarde,87
Consulta 2 - Média,REST,1232.23,42084,2025-11-26 14:12:47.258691,2,Média,2,2025-11-26,14,12,Tarde,88
Consulta 2 - Média,REST,1384.94,42084,2025-11-26 14:12:49.644582,2,Média,2,2025-11-26,14,12,Tarde,89
Consulta 2 - Média,REST,1183.71,42084,2025-11-26 14:12:51.830004,2,Média,2,2025-11-26,14,12,Tarde,90
Consulta 2 - Média,GraphQL,551.5,1444,2025-11-26 14:12:53.383732,2,Média,2,2025-11-26,14,12,Tarde,91
Consulta 2 - Média,GraphQL,615.33,1444,2025-11-26 14:12:55.001357,2,Média,2,2025-11-26,14,12,Tarde,92
Consulta 2 - Média,REST,1538.25,42084,2025-11-26 14:12:57.540524,2,Média,2,2025-11-26,14,12,Tarde,93
Consulta 2 - Média,GraphQL,774.0,1444,2025-11-26 14:12:59.316898,2,Média,2,2025-11-26,14,12,Tarde,94
Consulta 2 - Média,GraphQL,563.13,1444,2025-11-26 14:13:00.882289,2,Média,2,2025-11-26,14,13,Tarde,95
Consulta 2 - Média,GraphQL,539.0,1444,2025-11-26 14:13:02.424653,2,Média,2,2025-11-26,14,13,Tarde,96
Consulta 2 - Média,GraphQL,593.91,1444,2025-11-26 14:13:04.020552,2,Média,2,2025-11-26,14,13,Tarde,97
Consulta 2 - Média,GraphQL,542.01,1444,2025-11-26 14:13:05.565054,2,Média,2,2025-11-26,14,13,Tarde,98
Consulta 2 - Média,GraphQL,622.51,1444,2025-11-26 14:13:07.188874,2,Média,2,2025-11-26,14,13,Tarde,99
Consulta 2 - Média,REST,1400.76,42084,2025-11-26 14:13:09.591468,2,Média,2,2025-11-26,14,13,Tarde,100
Consulta 2 - Média,REST,1231.13,42084,2025-11-26 14:13:11.824641,2,Média,2,2025-11-26,14,13,Tarde,101
Consulta 2 - Média,REST,1311.02,42084,2025-11-26 14:13:14.136664,2,Média,2,2025-11-26,14,13,Tarde,102
Consulta 2 - Média,GraphQL,571.99,1444,2025-11-26 14:13:15.711293,2,Média,2,2025-11-26,14,13,Tarde,103
Consulta 2 - Média,REST,1289.51,42084,2025-11-26 14:13:18.001644,2,Média,2,2025-11-26,14,13,Tarde,104
Consulta 2 - Média,GraphQL,542.0,1444,2025-11-26 14:13:19.545632,2,Média,2,2025-11-26,14,13,Tarde,105
Consulta 2 - Média,REST,1258.26,42084,2025-11-26 14:13:21.805064,2,Média,2,2025-11-26,14,13,Tarde,106
Consulta 2 - Média,REST,1177.51,42084,2025-11-26 14:13:23.983647,2,Média,2,2025-11-26,14,13,Tarde,107
Consulta 2 - Média,REST,1460.7,42084,2025-11-26 14:13:26.445585,2,Média,2,2025-11-26,14,13,Tarde,108
Consulta 2 - Média,GraphQL,558.4,1444,2025-11-26 14:13:28.005465,2,Média,2,2025-11-26,14,13,Tarde,109
Consulta 2 - Média,REST,1187.92,42084,2025-11-26 14:13:30.194644,2,Média,2,2025-11-26,14,13,Tarde,110
Consulta 2 - Média,GraphQL,544.68,1444,2025-11-26 14:13:31.741339,2,Média,2,2025-11-26,14,13,Tarde,111
Consulta 2 - Média,GraphQL,554.2,1444,2025-11-26 14:13:33.298120,2,Média,2,2025-11-26,14,13,Tarde,112
Consulta 2 - Média,REST,1200.17,42084,2025-11-26 14:13:35.498810,2,Média,2,2025-11-26,14,13,Tarde,113
Consulta 2 - Média,GraphQL,1063.03,1444,2025-11-26 14:13:37.563376,2,Média,2,2025-11-26,14,13,Tarde,114
Consulta 2 - Média,GraphQL,632.5,1444,2025-11-26 14:13:39.198760,2,Média,2,2025-11-26,14,13,Tarde,115
Consulta 2 - Média,REST,1266.5,42084,2025-11-26 14:13:41.465908,2,Média,2,2025-11-26,14,13,Tarde,116
Consulta 2 - Média,GraphQL,675.0,1444,2025-11-26 14:13:43.143101,2,Média,2,2025-11-26,14,13,Tarde,117
Consulta 2 - Média,GraphQL,608.0,1444,2025-11-26 14:13:44.753193,2,Média,2,2025-11-26,14,13,Tarde,118
Consulta 2 - Média,GraphQL,638.45,1444,2025-11-26 14:13:46.393903,2,Média,2,2025-11-26,14,13,Tarde,119
Consulta 2 - Média,REST,1321.5,42084,2025-11-26 14:13:48.716868,2,Média,2,2025-11-26,14,13,Tarde,120
Consulta 3 - Complexa,REST,2747.33,139701,2025-11-26 14:13:52.465959,3,Alta,4,2025-11-26,14,13,Tarde,121
Consulta 3 - Complexa,GraphQL,1071.25,1003,2025-11-26 14:13:54.538894,3,Alta,4,2025-11-26,14,13,Tarde,122
Consulta 3 - Complexa,GraphQL,1030.0,1003,2025-11-26 14:13:56.571259,3,Alta,4,2025-11-26,14,13,Tarde,123
Consulta 3 - Complexa,GraphQL,1073.87,1003,2025-11-26 14:13:58.647061,3,Alta,4,2025-11-26,14,13,Tarde,124
Consulta 3 - Complexa,REST,3182.78,139701,2025-11-26 14:14:02.831447,3,Alta,4,2025-11-26,14,14,Tarde,125
Consulta 3 - Complexa,REST,4324.25,139701,2025-11-26 14:14:08.156763,3,Alta,4,2025-11-26,14,14,Tarde,126
Consulta 3 - Complexa,REST,3160.88,139701,2025-11-26 14:14:12.318502,3,Alta,4,2025-11-26,14,14,Tarde,127
Consulta 3 - Complexa,REST,3052.63,139701,2025-11-26 14:14:16.372479,3,Alta,4,2025-11-26,14,14,Tarde,128
Consulta 3 - Complexa,REST,2871.26,139701,2025-11-26 14:14:20.245254,3,Alta,4,2025-11-26,14,14,Tarde,129
Consulta 3 - Complexa,REST,2809.02,139701,2025-11-26 14:14:24.056087,3,Alta,4,2025-11-26,14,14,Tarde,130
Consulta 3 - Complexa,REST,2724.96,139701,2025-11-26 14:14:27.782014,3,Alta,4,2025-11-26,14,14,Tarde,131
Consulta 3 - Complexa,GraphQL,963.15,1003,2025-11-26 14:14:29.747389,3,Alta,4,2025-11-26,14,14,Tarde,132
Consulta 3 - Complexa,GraphQL,1156.43,1003,2025-11-26 14:14:31.906054,3,Alta,4,2025-11-26,14,14,Tarde,133
Consulta 3 - Complexa,GraphQL,1140.04,1003,2025-11-26 14:14:34.048106,3,Alta,4,2025-11-26,14,14,Tarde,134
Consulta 3 - Complexa,REST,3299.53,139701,2025-11-26 14:14:38.348638,3,Alta,4,2025-11-26,14,14,Tarde,135
Consulta 3 - Complexa,REST,3161.78,139701,2025-11-26 14:14:42.511379,3,Alta,4,2025-11-26,14,14,Tarde,136
Consulta 3 - Complexa,GraphQL,955.25,1003,2025-11-26 14:14:44.470535,3,Alta,4,2025-11-26,14,14,Tarde,137
Consulta 3 - Complexa,REST,2837.83,139701,2025-11-26 14:14:48.309122,3,Alta,4,2025-11-26,14,14,Tarde,138
Consulta 3 - Complexa,GraphQL,953.12,1003,2025-11-26 14:14:50.264679,3,Alta,4,2025-11-26,14,14,Tarde,139
Consulta 3 - Complexa,REST,2921.31,139701,2025-11-26 14:14:54.187491,3,Alta,4,2025-11-26,14,14,Tarde,140
Consulta 3 - Complexa,GraphQL,1052.0,1003,2025-11-26 14:14:56.240950,3,Alta,4,2025-11-26,14,14,Tarde,141
Consulta 3 - Complexa,REST,3048.62,139701,2025-11-26 14:15:00.290321,3,Alta,4,2025-11-26,14,15,Tarde,142
Consulta 3 - Complexa,GraphQL,893.36,1003,2025-11-26 14:15:02.185938,3,Alta,4,2025-11-26,14,15,Tarde,143
Consulta 3 - Complexa,GraphQL,898.3,1003,2025-11-26 14:15:04.085208,3,Alta,4,2025-11-26,14,15,Tarde,144
Consulta 3 - Complexa,REST,3087.11,139701,2025-11-26 14:15:08.173589,3,Alta,4,2025-11-26,14,15,Tarde,145
Consulta 3 - Complexa,REST,3166.56,139701,2025-11-26 14:15:12.341146,3,Alta,4,2025-11-26,14,15,Tarde,146
Consulta 3 - Complexa,GraphQL,1061.38,1003,2025-11-26 14:15:14.405032,3,Alta,4,2025-11-26,14,15,Tarde,147
Consulta 3 - Complexa,GraphQL,1075.71,1003,2025-11-26 14:15:16.483738,3,Alta,4,2025-11-26,14,15,Tarde,148
Consulta 3 - Complexa,GraphQL,947.85,1003,2025-11-26 14:15:18.433362,3,Alta,4,2025-11-26,14,15,Tarde,149
Consulta 3 - Complexa,REST,3140.85,139701,2025-11-26 14:15:22.575217,3,Alta,4,2025-11-26,14,15,Tarde,150
Consulta 3 - Complexa,REST,2991.73,139701,2025-11-26 14:15:26.568310,3,Alta,4,2025-11-26,14,15,Tarde,151
Consulta 3 - Complexa,REST,3119.39,139701,2025-11-26 14:15:30.689208,3,Alta,4,2025-11-26,14,15,Tarde,152
Consulta 3 - Complexa,GraphQL,958.0,1003,2025-11-26 14:15:32.653383,3,Alta,4,2025-11-26,14,15,Tarde,153
Consulta 3 - Complexa,REST,3265.14,139701,2025-11-26 14:15:36.919095,3,Alta,4,2025-11-26,14,15,Tarde,154
