name,owner,url,stars,age_days,merged_prs,total_releases,days_since_update,primary_language,total_issues,closed_issues,closed_issues_ratio,forks,description
umami,umami-software,https://github.com/umami-software/umami,30539,1873,804,99,0,TypeScript,1845,1766,0.9571815718157182,5497,"Umami is a modern, privacy-focused alternative to Google Analytics."
jsPDF,parallax,https://github.com/parallax/jsPDF,30530,5749,722,36,1,JavaScript,2561,2447,0.955486138227255,4727,Client-side JavaScript PDF generation for everyone.
symfony,symfony,https://github.com/symfony/symfony,30523,5720,24346,557,0,PHP,21259,20718,0.9745519544663437,9683,The Symfony PHP framework
CLIP,openai,https://github.com/openai/CLIP,30509,1721,28,0,406,Jupyter Notebook,436,193,0.4426605504587156,3728,"CLIP (Contrastive Language-Image Pretraining),  Predict the most relevant text snippet given an image"
medusa,medusajs,https://github.com/medusajs/medusa,30469,2054,7535,130,0,TypeScript,3299,3209,0.972719005759321,3627,The world's most flexible commerce platform.
rocksdb,facebook,https://github.com/facebook/rocksdb,30435,4659,609,206,0,C++,3410,2636,0.7730205278592376,6594,"A library that provides an embeddable, persistent key-value store for fast storage."
weekly,ascoders,https://github.com/ascoders/weekly,30420,3088,136,193,358,JavaScript,366,363,0.9918032786885246,3280,前端精读周刊。帮你理解最前沿、实用的技术。
webtorrent,webtorrent,https://github.com/webtorrent/webtorrent,30414,4340,963,228,2,JavaScript,1663,1598,0.9609140108238123,2776,⚡️ Streaming torrent client for the web
dioxus,DioxusLabs,https://github.com/DioxusLabs/dioxus,30380,1691,1772,25,4,Rust,2081,1640,0.7880826525708794,1272,"Fullstack app framework for web, desktop, and mobile."
lux,iawia002,https://github.com/iawia002/lux,30378,2747,300,86,62,Go,1060,540,0.5094339622641509,3199,👾 Fast and simple video download library and CLI tool written in Go
fabric.js,fabricjs,https://github.com/fabricjs/fabric.js,30367,5564,2350,175,1,TypeScript,6187,5762,0.9313075804105382,3586,"Javascript Canvas Library, SVG-to-Canvas (& canvas-to-SVG) Parser"
tqdm,tqdm,https://github.com/tqdm/tqdm,30356,3744,287,131,103,Python,1027,587,0.5715676728334956,1400,":zap: A Fast, Extensible Progress Bar for Python and CLI"
docsify,docsifyjs,https://github.com/docsifyjs/docsify,30351,3208,736,15,0,JavaScript,1287,1206,0.9370629370629371,5821,🃏 A magical documentation site generator.
layui,layui,https://github.com/layui/layui,30345,3633,594,159,2,JavaScript,1373,1311,0.954843408594319,7419,一套遵循原生态开发模式的 Web UI 组件库，采用自身轻量级模块化规范，易上手，可以更简单快速地构建网页界面。
NeteaseCloudMusicApi,Binaryify,https://github.com/Binaryify/NeteaseCloudMusicApi,30314,3359,292,0,552,Not specified,1337,1190,0.8900523560209425,15833,网易云音乐 Node.js API service
GPTs,linexjlin,https://github.com/linexjlin/GPTs,30305,661,42,0,340,Not specified,28,21,0.75,4126,leaked prompts of GPTs
numpy,numpy,https://github.com/numpy/numpy,30293,5468,13116,132,0,Python,13508,11406,0.844388510512289,11286,The fundamental package for scientific computing with Python.
alpine,alpinejs,https://github.com/alpinejs/alpine,30262,2105,664,137,2,HTML,612,612,1.0,1319,"A rugged, minimal framework for composing JavaScript behavior in your markup. "
sniffnet,GyulyVGC,https://github.com/GyulyVGC/sniffnet,30253,1129,435,14,1,Rust,283,240,0.8480565371024735,1047,Comfortably monitor your Internet traffic 🕵️‍♂️
AI-Expert-Roadmap,AMAI-GmbH,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,30232,1774,13,0,611,JavaScript,66,46,0.696969696969697,2537,Roadmap to becoming an Artificial Intelligence Expert in 2022
HEAD,joshbuchea,https://github.com/joshbuchea/HEAD,30224,3422,87,0,6,Not specified,93,73,0.7849462365591398,1935,A simple guide to HTML <head> elements
uppy,transloadit,https://github.com/transloadit/uppy,30212,3578,3117,257,4,TypeScript,2459,2295,0.9333062220414803,2084,The next open source file uploader for web browsers :dog: 
CheatSheetSeries,OWASP,https://github.com/OWASP/CheatSheetSeries,30195,2447,1082,0,1,Python,534,492,0.9213483146067416,4224,The OWASP Cheat Sheet Series was created to provide a concise collection of high value information on specific application security topics.
roop,s0md3v,https://github.com/s0md3v/roop,30171,828,80,6,379,Python,0,0,0,6847,one-click face swap
sequelize,sequelize,https://github.com/sequelize/sequelize,30152,5521,4961,487,2,TypeScript,10402,9511,0.9143433955008652,4299,"Feature-rich ORM for modern Node.js and TypeScript, it supports PostgreSQL (with JSON and JSONB support), MySQL, MariaDB, SQLite, MS SQL Server, Snowflake, Oracle DB (v6), DB2 and DB2 for IBM i."
OpenAPI-Specification,OAI,https://github.com/OAI/OpenAPI-Specification,30145,4201,1594,12,0,Markdown,2366,2226,0.9408284023668639,9133,The OpenAPI Specification Repository
stanford_alpaca,tatsu-lab,https://github.com/tatsu-lab/stanford_alpaca,30138,907,5,0,412,Python,268,98,0.3656716417910448,4044,"Code and documentation to train Stanford's Alpaca models, and generate the data."
firecracker,firecracker-microvm,https://github.com/firecracker-microvm/firecracker,30099,2875,3206,80,0,Rust,1457,1411,0.9684282772820865,2063,Secure and fast microVMs for serverless computing.
drizzle-orm,drizzle-team,https://github.com/drizzle-team/drizzle-orm,30091,1531,611,147,0,TypeScript,3141,1696,0.5399554282075772,1011,"Headless TypeScript ORM with a head. Runs on Node, Bun and Deno. Lives on the Edge and yes, it's a JavaScript ORM too 😅"
pytorch-lightning,Lightning-AI,https://github.com/Lightning-AI/pytorch-lightning,30067,2347,9122,168,0,Python,7406,6525,0.8810423980556306,3556,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes."
hutool,chinabugotech,https://github.com/chinabugotech/hutool,30034,4160,456,153,3,Java,3001,2996,0.9983338887037654,7656,🍬A set of tools that keep Java sweet.
tinygrad,tinygrad,https://github.com/tinygrad/tinygrad,30005,1780,8085,13,0,Python,984,850,0.8638211382113821,3603,You like pytorch? You like micrograd? You love tinygrad! ❤️ 
surrealdb,surrealdb,https://github.com/surrealdb/surrealdb,29971,1363,2159,92,0,Rust,2171,1521,0.7005988023952096,1042,"A scalable, distributed, collaborative, document-graph database, for the realtime web"
particles.js,VincentGarreau,https://github.com/VincentGarreau/particles.js,29947,4014,21,6,523,JavaScript,411,106,0.25790754257907544,4849,A lightweight JavaScript library for creating particles
AdGuardHome,AdguardTeam,https://github.com/AdguardTeam/AdGuardHome,29944,3345,125,214,0,Go,5771,4636,0.8033269797262172,2113,Network-wide ads & trackers blocking DNS server
Hyprland,hyprwm,https://github.com/hyprwm/Hyprland,29915,1266,1898,96,0,C++,7280,7220,0.9917582417582418,1318,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks."
wails,wailsapp,https://github.com/wailsapp/wails,29883,2453,1511,244,0,Go,2141,1878,0.8771602055114432,1458,Create beautiful applications using Go
restic,restic,https://github.com/restic/restic,29869,4146,2184,48,1,Go,2818,2392,0.8488289567068843,1630,"Fast, secure, efficient backup program"
stb,nothings,https://github.com/nothings/stb,29822,4118,288,0,99,C,894,695,0.7774049217002237,7882,stb single-file public domain libraries for C/C++
DevToys,DevToys-app,https://github.com/DevToys-app/DevToys,29807,1434,497,38,4,C#,936,658,0.7029914529914529,1618,A Swiss Army knife for developers.
leakcanary,square,https://github.com/square/leakcanary,29788,3779,921,43,28,Kotlin,1636,1510,0.9229828850855746,3979,A memory leak detection library for Android.
awesome-python-cn,jobbole,https://github.com/jobbole/awesome-python-cn,29773,3591,51,0,1100,Makefile,31,18,0.5806451612903226,7975,Python资源大全中文版，包括：Web框架、网络爬虫、模板引擎、数据库、数据可视化、图片处理等，由「开源前哨」和「Python开发者」微信公号团队维护更新。
vue-vben-admin,vbenjs,https://github.com/vbenjs/vue-vben-admin,29772,1879,1643,60,0,Vue,3615,3490,0.9654218533886584,8068,"A modern vue admin panel built with Vue3, Shadcn UI, Vite, TypeScript, and Monorepo. It's fast!"
awesome-macos-command-line,herrbischoff,https://github.com/herrbischoff/awesome-macos-command-line,29772,3633,104,0,1461,Not specified,0,0,0,1438,Use your macOS terminal shell to do awesome things.
foundation-sites,foundation,https://github.com/foundation/foundation-sites,29771,5073,2958,79,224,HTML,8237,8179,0.9929586014325604,5448,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites that work on any kind of device.
qlib,microsoft,https://github.com/microsoft/qlib,29744,1845,726,23,1,Python,983,724,0.7365208545269583,4596,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process."
glances,nicolargo,https://github.com/nicolargo/glances,29741,5021,745,51,3,Python,2064,1937,0.938468992248062,1615,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems."
folly,facebook,https://github.com/facebook/folly,29734,4841,13,256,0,C++,1225,931,0.76,5764,An open-source C++ library developed and used at Facebook.
algo,trailofbits,https://github.com/trailofbits/algo,29727,3397,576,3,11,Python,1619,1543,0.9530574428659666,2356,Set up a personal VPN in the cloud
cheerio,cheeriojs,https://github.com/cheeriojs/cheerio,29724,5077,2849,61,0,TypeScript,1221,1199,0.9819819819819819,1673,"The fast, flexible, and elegant library for parsing and manipulating HTML and XML."
vue-cli,vuejs,https://github.com/vuejs/vue-cli,29708,3538,1259,178,12,JavaScript,5498,4563,0.8299381593306657,6304,🛠️ webpack-based tooling for Vue.js Development
WSL,microsoft,https://github.com/microsoft/WSL,29702,3436,139,94,8,C++,11756,10735,0.9131507315413406,1465,Windows Subsystem for Linux
DeepFaceLive,iperov,https://github.com/iperov/DeepFaceLive,29695,1722,13,35,298,Python,131,130,0.9923664122137404,868,Real-time face swap for PC streaming or video calls
LibreChat,danny-avila,https://github.com/danny-avila/LibreChat,29673,933,2162,59,0,TypeScript,3343,3176,0.9500448698773557,5562,"Enhanced ChatGPT Clone: Features Agents, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active project."
motion,motiondivision,https://github.com/motiondivision/motion,29661,2482,1062,0,3,TypeScript,1861,1570,0.8436324556689951,1019,A modern animation library for React and JavaScript
Mr.-Ranedeer-AI-Tutor,JushBJJ,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,29632,886,18,3,80,Not specified,47,34,0.723404255319149,3382,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
apollo,apolloconfig,https://github.com/apolloconfig/apollo,29631,3469,1449,41,1,Java,3357,3212,0.956806672624367,10234,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.
project-guidelines,elsewhencode,https://github.com/elsewhencode/project-guidelines,29562,2986,113,0,267,JavaScript,39,29,0.7435897435897436,3206,A set of best practices for JavaScript projects
mantine,mantinedev,https://github.com/mantinedev/mantine,29537,1699,1501,273,2,TypeScript,3253,3228,0.9923147863510605,2141,A fully featured React components library
react-boilerplate,react-boilerplate,https://github.com/react-boilerplate/react-boilerplate,29536,3849,715,16,894,JavaScript,1909,1823,0.9549502357255107,6092,"🔥 A highly scalable, offline-first foundation with the best developer experience and a focus on performance and best practices."
